#,Element,Ox.-number Z,"bondtype",CN,"Spinstate","Radius RHoWior Cordero","Crystal Radius CRShannon","Ionic Radius IRShannon","Covalent RadiusCordero",Z/R,"charge surface ratio[(Z/R)/4pR2]",Notes,
628,Sm,3,I,6,,1.098,1.098,0.958,,2.73,0.180,,
629,Sm,3,I,7,,1.16,1.16,1.02,,2.59,0.153,,
630,Sm,3,I,8,,1.219,1.219,1.079,,2.46,0.132,,
631,Sm,3,I,9,,1.272,1.272,1.132,,2.36,0.116,,
632,Sm,3,I,12,,1.38,1.38,1.24,,2.17,0.091,,
633,Sn,0,C(1),0,,1.39,,,1.39,0.00,0.000,,
634,Sn,0,K(1),0,,1.40,,,,0.00,0.000,CN set to 0 for better usability of table,
635,Sn,0,K(2),0,,1.30,,,,0.00,0.000,,
636,Sn,0,M,6,,1.53,,,,0.00,0.000,,
637,Sn,0,M,12,,1.58,,,,0.00,0.000,,
638,Sn,0,W,0,,2.2,,,,0.00,0.000,,
639,Sn,4,I,4,,0.69,0.69,0.55,,5.80,0.969,,
640,Sn,4,I,5,,0.76,0.76,0.62,,5.26,0.725,,
641,Sn,4,I,6,,0.830,0.83,0.69,,4.82,0.557,,
642,Sn,4,I,7,,0.89,0.89,0.75,,4.49,0.452,,
643,Sn,4,I,8,,0.95,0.95,0.81,,4.21,0.371,,
644,Sr,0,C(1),0,,1.95,,,1.95,0.00,0.000,,
645,Sr,0,M,12,,2.151,,,,0.00,0.000,,
646,Sr,2,I,6,,1.32,1.32,1.18,,1.52,0.069,,
647,Sr,2,I,7,,1.35,1.35,1.21,,1.48,0.065,,
648,Sr,2,I,8,,1.40,1.4,1.26,,1.43,0.058,,
649,Sr,2,I,9,,1.45,1.45,1.31,,1.38,0.052,,
650,Sr,2,I,10,,1.50,1.5,1.36,,1.33,0.047,,
651,Sr,2,I,12,,1.58,1.58,1.44,,1.27,0.040,,
652,Ta,0,C(1),0,,1.7,,,1.7,0.00,0.000,,
653,Ta,0,M,8,,1.430,,,,0.00,0.000,,
654,Ta,0,M,12,,1.47,,,,0.00,0.000,,
655,Ta,3,I,6,,0.86,0.86,0.72,,3.49,0.375,,
656,Ta,4,I,6,,0.82,0.82,0.68,,4.88,0.577,,
657,Ta,5,I,6,,0.78,0.78,0.64,,6.41,0.838,,
658,Ta,5,I,7,,0.83,0.83,0.69,,6.02,0.696,,
659,Ta,5,I,8,,0.88,0.88,0.74,,5.68,0.584,,
660,Tb,0,C(1),0,,1.94,,,1.94,0.00,0.000,,
661,Tb,0,M,12,,1.763,,,,0.00,0.000,,
662,Tb,3,I,6,,1.063,1.063,0.923,,2.82,0.199,,
663,Tb,3,I,7,,1.12,1.12,0.98,,2.68,0.170,,
664,Tb,3,I,8,,1.180,1.18,1.04,,2.54,0.145,,
665,Tb,3,I,9,,1.235,1.235,1.095,,2.43,0.127,,
666,Tb,4,I,6,,0.90,0.9,0.76,,4.44,0.437,,
667,Tb,4,I,8,,1.02,1.02,0.88,,3.92,0.300,,
668,Tc,0,C(1),0,,1.47,,,1.47,0.00,0.000,,
669,Tc,0,M,12,,1.352,,,,0.00,0.000,,
670,Tc,4,I,6,,0.785,0.785,0.645,,5.10,0.658,,
671,Tc,5,I,6,,0.74,0.74,0.6,,6.76,0.982,,
672,Tc,7,I,4,,0.51,0.51,0.37,,13.73,4.199,,
673,Tc,7,I,6,,0.70,0.7,0.56,,10.00,1.624,,
674,Te,-2,I,6,,2.07,2.07,2.21,,-0.97,-0.018,,
675,Te,0,C(1),0,,1.38,,,1.38,0.00,0.000,,
676,Te,0,K(1),2,,1.37,,,,0.00,0.000,CN set to 0 for better usability of table,
677,Te,0,K(2),1,,1.27,,,,0.00,0.000,,
